doc,query_id,label
doc_1452,Q3,1
doc_2908,Q3,1
doc_618,Q3,1
doc_489,Q3,1
doc_110,Q3,1
doc_3439,Q3,1
doc_3137,Q3,1
doc_3913,Q3,1
doc_2944,Q3,1
doc_2696,Q3,1
doc_3803,Q3,0
doc_1069,Q3,0
doc_2852,Q3,0
doc_3445,Q3,0
doc_421,Q3,0
doc_3478,Q3,0
doc_3705,Q3,0
doc_3422,Q3,0
doc_650,Q3,0
doc_2442,Q3,0
doc_1452,Q2,1
doc_2908,Q2,1
doc_618,Q2,1
doc_2677,Q2,1
doc_489,Q2,1
doc_110,Q2,1
doc_3439,Q2,1
doc_3137,Q2,1
doc_3913,Q2,1
doc_2696,Q2,1
doc_1933,Q2,0
doc_3326,Q2,0
doc_1095,Q2,0
doc_2164,Q2,0
doc_3146,Q2,0
doc_3297,Q2,0
doc_243,Q2,0
doc_477,Q2,0
doc_2457,Q2,0
doc_3967,Q2,0
doc_2234,Q1,1
doc_2656,Q1,1
doc_3709,Q1,1
doc_592,Q1,1
doc_3556,Q1,1
doc_2586,Q1,1
doc_2701,Q1,1
doc_3478,Q1,1
doc_2956,Q1,1
doc_3552,Q1,1
doc_1336,Q1,0
doc_2295,Q1,0
doc_2176,Q1,0
doc_2488,Q1,0
doc_1669,Q1,0
doc_1953,Q1,0
doc_1641,Q1,0
doc_637,Q1,0
doc_885,Q1,0
doc_174,Q1,0
